Date,Open,High,Low,Close,Volume
2019-07-01,3157.050539167893,3195.8767925313755,3134.670394580212,3162.390922831013,11348957.0
2019-07-02,3148.4373337962857,3157.4209526447257,3104.338645960559,3126.255145933221,5968951.0
2019-07-03,3325.0285492338035,3330.066374575281,3300.4028826239605,3317.8694308875984,1313221.0
2019-07-04,3355.527043010196,3397.997771951297,3341.9340611875105,3378.399989712659,2141843.0
2019-07-05,3369.3485595397624,3395.856761344374,3355.707901653955,3367.3786030418173,7585294.0
2019-07-08,3297.8595595453694,3320.6664037705864,3281.9507260782193,3301.6155129982612,1808224.0
2019-07-09,3383.981484457519,3392.082528075586,3330.6710832466056,3357.6217726931536,7486101.0
2019-07-10,3370.9798977389223,3379.153238672426,3321.4847991824727,3339.26194879448,2812742.0
2019-07-11,3449.4731232648237,3463.8984916876757,3395.910745265259,3421.484507793356,9524655.0
2019-07-12,3421.8134254101524,3434.583177773775,3367.999887493358,3408.575712869703,2607910.0
2019-07-15,3255.5802992788563,3298.4204758350647,3252.180927888416,3269.406271448676,10832111.0
2019-07-16,3438.4958003332085,3481.407691707207,3421.243393020786,3443.8674857762967,6324103.0
2019-07-17,3415.1048988081725,3426.0393338422214,3364.910224249593,3395.5817295614565,2697093.0
2019-07-18,3445.261036131629,3461.992486098194,3364.2925706333735,3410.4308657258657,7853301.0
2019-07-19,3433.6110226792457,3468.526462342871,3416.1098199030066,3449.3085054221233,1905169.0
2019-07-22,3404.5568597233028,3414.0429252976946,3358.3381124988423,3374.7559597936593,5047705.0
2019-07-23,3334.8477491815383,3370.8830512828763,3322.6846058233996,3351.3204753012897,11995900.0
2019-07-24,3472.5675907039467,3502.6535894042618,3443.2280872819206,3476.1893434865638,10172293.0
2019-07-25,3419.0840249914586,3439.140739888957,3417.0618859196034,3427.0117731610967,5392719.0
2019-07-26,3469.7107649153986,3494.159952523601,3399.2472887403583,3438.015197091979,9177573.0
2019-07-29,3338.663094743998,3349.113398219066,3311.9848192694144,3331.673745652305,8098822.0
2019-07-30,3292.345830505032,3322.828919474398,3290.8518227447685,3303.7357364197437,3977780.0
2019-07-31,3233.7964153747866,3282.5831220744612,3204.8316363787903,3235.548963087214,5545612.0
2019-08-01,3128.940669745764,3169.757411283031,3115.1244578407664,3153.4440525181612,4591274.0
2019-08-02,3123.537524461719,3166.0575363181647,3118.0880344060615,3144.3863260344324,8187378.0
2019-08-05,3206.555455171247,3213.8143173886656,3170.540765951666,3193.4322469715626,10544169.0
2019-08-06,3195.775592542183,3229.9126058160464,3171.8403092285694,3207.3634203351157,8098084.0
2019-08-07,3191.323737675281,3206.65433766373,3136.4003057185455,3178.089557609817,8505813.0
