Price,Close,High,Low,Open,Volume,SMA_10,SMA_20,RSI,MACD,Signal,Return,Lag_1,Lag_5,Lag_21,Target
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,
Date,,,,,,,,,,,,,,,
2020-01-31,628.599609375,647.1238564671794,626.6180767993984,647.0125063572486,34750310,666.2292236328125,674.8946502685546,25.145876878830734,-7.557651901782492,-1.6169137900107164,-0.022233952361919496,-0.02439419729074388,-0.003471089797055349,0.017024421646347765,-0.018524463014575443
2020-02-03,616.9551391601562,623.3896651574961,606.9583015760081,610.0085691432375,30712290,659.6900695800781,672.3119415283203,24.072082787330203,-10.665002115925063,-3.426531455193586,-0.018524463014575443,-0.022233952361919496,-0.009858500870434717,0.0012049720161162458,0.029520113040975682
2020-02-04,635.167724609375,637.8840014691701,622.4323157911366,623.411935184783,25383901,654.9031555175782,670.1255493164062,34.42548685345612,-11.525141454521531,-5.046253455059176,0.029520113040975682,-0.018524463014575443,-0.02309918956181678,-0.023192294107665323,0.01549345472310426
2020-02-05,645.0086669921875,646.9234370233874,636.9043647870463,638.9526598272524,18472100,651.1248352050782,668.6861297607422,36.070456386978776,-11.282666712576201,-6.2935361065625814,0.01549345472310426,0.029520113040975682,0.005503729145298619,0.015384552186111788,0.006420433652269963
2020-02-06,649.14990234375,653.2466113131902,641.2682409254869,647.5023606854987,15538577,648.0500732421875,666.6778503417969,28.544058833274377,-10.633761268903868,-7.161581139030838,0.006420433652269963,0.01549345472310426,-0.02439419729074388,-0.007510007394571194,-0.01656594900632513
2020-02-07,638.3961181640625,646.7231209827357,636.0137726868787,646.121961162775,12209212,644.1359313964844,664.1396697998047,31.20716005202908,-10.86202883285182,-7.901670677795035,-0.01656594900632513,0.006420433652269963,-0.022233952361919496,0.023031315483657666,0.0013601055960514863
2020-02-10,639.264404296875,643.6728102657878,628.065247040691,635.8801458287573,15142476,640.9765686035156,661.7328491210938,31.311777857690075,-10.847822146343333,-8.490900971504695,0.0013601055960514863,-0.01656594900632513,-0.018524463014575443,-0.00022596578902744913,0.01194629447374318
2020-02-11,646.9012451171875,652.8904307204514,643.4724582072458,644.5188995976021,13999816,640.130517578125,660.0262573242187,35.586589001891284,-10.103862971574245,-8.813493371518605,0.01194629447374318,0.0013601055960514863,0.029520113040975682,-0.002552254664321074,0.012080484355348586
2020-02-12,654.7161254882812,656.742245701073,647.9031394730254,648.4152429768247,13533565,639.7052612304688,658.833984375,40.27180433257125,-8.78243597630808,-8.807281892476501,0.012080484355348586,0.01194629447374318,0.01549345472310426,-0.009263499039944945,0.002618471429081559
2020-02-13,656.4304809570312,658.0335539553153,651.2873305313852,658.0335539553153,13565659,641.0589416503906,657.4146118164062,41.80494218258719,-7.510287484204241,-8.54788301082205,0.002618471429081559,0.012080484355348586,0.006420433652269963,-0.0036290404251784203,0.009123885850961466
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841,644.4409484863281,655.3350860595704,46.70605468005459,-5.950231942805431,-8.028352797218727,0.009123885850961466,0.002618471429081559,-0.01656594900632513,0.009220014512186347,-0.0062851259605103404
2020-02-17,658.2562866210938,670.6800000544514,656.497394562928,663.0432124820926,13149130,648.5710632324219,654.13056640625,51.2395644377996,-4.992279662224178,-7.421138170219818,-0.0062851259605103404,0.009123885850961466,0.0013601055960514863,0.028025347821316826,-0.007339911622494144
2020-02-18,653.4247436523438,657.2097556655767,648.97180932506,657.2097556655767,11127161,650.3967651367187,652.6499603271484,47.65048417118729,-4.57027740386593,-6.850966016949041,-0.007339911622494144,-0.0062851259605103404,0.01194629447374318,-0.030771590245370795,0.02480582560093403
2020-02-19,669.6334838867188,670.813509728984,656.8535465958774,658.7460229239962,14084409,652.8592468261719,651.992041015625,61.319460413345496,-2.894561001511306,-6.059685013861494,0.02480582560093403,-0.007339911622494144,0.012080484355348586,0.00101148810043461,-0.01186990573110236
2020-02-20,661.6849975585938,671.5037233050037,660.7276124968037,666.6055073331329,16892268,654.1127563476563,651.0814147949219,64.80082393203654,-2.1827586155681047,-5.284299734202817,-0.01186990573110236,0.02480582560093403,0.002618471429081559,-0.0003586850573628064,-0.02759189218532121
2020-02-24,643.4278564453125,657.6995152268572,641.0232768478887,654.4711351131652,21370214,654.6159301757813,649.3759307861328,61.181112633219584,-3.0566140588023245,-4.8387625991227186,-0.02759189218532121,-0.01186990573110236,0.009123885850961466,-0.004238990344209159,-0.019758351465700486
2020-02-25,630.7147827148438,646.3000526686237,627.8648619763386,646.3000526686237,27745062,653.7609680175781,647.3687683105469,48.027610266148386,-4.720573759962804,-4.815124831290736,-0.019758351465700486,-0.02759189218532121,-0.0062851259605103404,-0.003471089797055349,-0.01722685859404116
2020-02-26,619.8495483398438,628.9112950285784,617.7789594939649,627.8648537048206,29362748,651.0557983398437,645.5931579589844,38.956210860452494,-6.837192521442262,-5.219538369321041,-0.01722685859404116,-0.019758351465700486,-0.007339911622494144,-0.009858500870434717,-0.004130621336078666
2020-02-27,617.2891845703125,620.6511494965837,609.6078101962304,618.0683975689975,25054993,647.3131042480469,643.5091827392578,35.817659582098514,-8.621840882889387,-5.899998872034711,-0.004130621336078666,-0.01722685859404116,0.02480582560093403,-0.02309918956181678,-0.04155100633143316
2020-02-28,591.6401977539062,604.2643163833105,590.0148903377343,603.3291656588368,39315769,640.8340759277344,640.9465087890625,31.624064890247993,-11.967888081538376,-7.113576713935444,-0.04155100633143316,-0.004130621336078666,-0.01186990573110236,0.005503729145298619,-0.009408018810260543
2020-03-02,586.0740356445312,609.6077893226085,579.3723403742132,603.4181975497225,29500495,633.19951171875,638.8202301025391,29.83966972509323,-14.897073170896874,-8.67027600532773,-0.009408018810260543,-0.04155100633143316,-0.02759189218532121,-0.02439419729074388,0.020286418675148354
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798,627.1702209472656,637.8706420898437,32.03071773320232,-16.07381389899342,-10.150983584060869,0.020286418675148354,-0.009408018810260543,-0.019758351465700486,-0.022233952361919496,-0.0023457104151543007
2020-03-04,596.5607299804688,602.8393785511545,582.400359715697,602.0378717145262,22105261,621.4838195800781,635.9402923583984,27.590939836290886,-16.924476618515996,-11.505682190951894,-0.0023457104151543007,0.020286418675148354,-0.01722685859404116,-0.018524463014575443,-0.02131071343908475
2020-03-05,583.8475952148438,604.6873667976507,581.5543059975552,602.1269086434213,30510390,612.9052307128907,632.8822387695312,24.217035170867717,-18.412231931428096,-12.886992139047136,-0.02131071343908475,-0.0023457104151543007,-0.004130621336078666,0.029520113040975682,-0.030622138818257927
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039,603.3336242675781,628.7231903076172,18.40724007953723,-20.794244245922755,-14.468442560422261,-0.030622138818257927,-0.02131071343908475,-0.04155100633143316,0.01549345472310426,-0.12340675748031749
2020-03-09,496.1245422363281,552.6101067897556,487.5971635409846,552.1870596312644,88187018,588.6032928466797,621.6096115112305,12.869670817113771,-27.99515408591776,-17.173784865521363,-0.12340675748031749,-0.030622138818257927,-0.009408018810260543,0.006420433652269963,0.035363393106321084
2020-03-11,513.669189453125,524.7569973633897,493.3860202311153,493.3860202311153,59578576,576.8987335205078,615.329850769043,19.755250204999456,-31.918286472198815,-20.122685186856856,0.035363393106321084,-0.12340675748031749,0.020286418675148354,-0.01656594900632513,-0.07849690516442809
2020-03-12,473.3477478027344,490.26892105164063,466.98004375854214,483.14423842846696,55970485,562.2485534667969,606.6521759033203,11.535787453875955,-37.844749795701546,-23.667098108625794,-0.07849690516442809,0.035363393106321084,-0.0023457104151543007,0.0013601055960514863,0.039793151277453864
2020-03-13,492.1837463378906,507.6354328669012,419.64532802906,444.40366683588684,73297403,549.7380096435547,598.5255569458008,18.143800173418512,-40.55412431363902,-27.044503349628442,0.039793151277453864,-0.07849690516442809,-0.02131071343908475,0.01194629447374318,-0.0810640482935231
2020-03-16,452.28533935546875,480.7841591374453,447.5206784786443,472.2567802513006,38482258,535.802523803711,588.3182998657227,16.778910720309597,-45.397477278556494,-30.715098135414056,-0.0810640482935231,0.039793151277453864,-0.030622138818257927,0.012080484355348586,-0.007580925483820167
2020-03-17,448.8565979003906,472.0118916262875,446.7191870864638,466.3343737158094,45445979,522.0807800292969,577.6401458740235,17.33847253909569,-48.948294705850685,-34.36173744950138,-0.007580925483820167,-0.0810640482935231,-0.12340675748031749,0.002618471429081559,-0.0391865507335295
2020-03-18,431.2674560546875,461.280292373532,427.9277554968568,456.5601596607462,44730415,505.41118774414065,566.2907043457031,16.929587022417067,-52.57558127383419,-38.00450621436795,-0.0391865507335295,-0.007580925483820167,0.035363393106321084,0.009123885850961466,-0.05245223316651304
2020-03-19,408.6465148925781,430.59951868687136,397.2915088300032,409.7152202964063,61404010,486.61976623535156,554.0517929077148,15.81675412303224,-56.62284005913108,-41.728172983320576,-0.05245223316651304,-0.0391865507335295,-0.07849690516442809,-0.0062851259605103404,0.10924056846447217
2020-03-20,453.28729248046875,460.8350229658722,414.123649892298,418.35394359459445,63360475,473.56373596191406,543.2344833374024,28.660731869604163,-55.58740710545345,-44.50001980774715,0.10924056846447217,-0.05245223316651304,0.039793151277453864,-0.007339911622494144,-0.13153895984722064
2020-03-23,393.662353515625,423.02950129195114,389.9218699453738,407.9785404343475,40670949,456.3330780029297,529.8333511352539,24.564412334860904,-58.89910112349469,-47.37983607089666,-0.13153895984722064,0.10924056846447217,-0.0810640482935231,0.02480582560093403,0.06713423933030738
2020-03-24,420.090576171875,431.9353918898189,398.8945807634273,414.1236252972025,45734887,448.72968139648435,518.666487121582,27.356741336447882,-58.71428407532483,-49.6467256717823,0.06713423933030738,-0.13153895984722064,-0.007580925483820167,-0.01186990573110236,0.147180406011306
