Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,348.7861630154639,351.97009131506957,343.8655224616585,350.95703125,7759872,498.0776241124587,498.9850342368502,491.37165350447594,496.1963806152344,9746670,491.46209751215014,496.8556953773877,486.368852025891,496.18585205078125,6373440,1555.421809116884,1566.9069912517134,1546.3977374395183,1561.0003662109375,1094883,538.3861372454661,542.7440351755266,532.8471114590108,541.725830078125,2943390
2019-01-02,348.7861503348103,354.9610583108022,347.62834220743764,351.7771301269531,18243156,493.31923501144814,498.85222039888913,487.3436249759111,489.73388671875,15628818,494.961651676616,496.0472852130269,489.62580034691234,491.65850830078125,8134232,1562.8054207646085,1586.9652860310962,1558.7035692665386,1577.8182373046875,2100463,542.499537891653,549.0160488573184,539.282000658949,544.9839477539062,7416655
2019-01-03,352.16309307857125,354.38219120244753,349.3168316444681,350.4746398925781,12884409,490.22075460323975,493.3634781245717,482.5188791945198,483.6918640136719,16288287,490.6652572961889,491.6007710406543,485.76831739621565,487.801025390625,12771664,1574.2905694987082,1595.5791382370276,1553.0429591887316,1558.6624755859375,2611668,547.3870394041824,551.4598596378444,540.1373995014463,545.0655517578125,6827249
2019-01-04,349.1238610869647,355.82941421941774,345.4574881633734,352.3560485839844,22896026,485.7501554591943,488.8707479276948,478.53516673110533,486.3034362792969,18516544,488.59794669494386,491.65854132617324,487.4661267095227,489.1061096191406,7287120,1558.7032586012956,1559.687662707487,1510.3014205710447,1539.711669921875,4280862,547.183436177335,548.9347688855626,530.2812310404839,538.4675903320312,7889310
2019-01-07,354.5751495958849,357.9520557825124,353.6585489960862,354.76812744140625,12719847,489.99941391309216,495.06761338004236,487.3435776393618,489.00347900390625,12060290,491.4736626826911,493.2407565394467,489.23308805295585,489.8451843261719,5387012,1551.9763527310513,1565.9226458463154,1543.1163146948045,1556.9805908203125,1856423,541.6849900859899,548.6902196950249,538.8340164539584,547.142578125,8046340
2019-01-08,354.8645824926237,368.37220707061374,353.7068037667955,366.7802429199219,21501136,489.15840959279836,491.30519807552065,485.13040739691826,488.959228515625,12304389,490.15702589817744,490.5035082444768,484.30145168827363,485.76824951171875,8343460,1563.13335386474,1563.953724040995,1545.0031929980744,1553.4119873046875,1691756,549.7900288483215,551.8264390227971,544.576798914846,545.7986450195312,8621545
2019-01-09,368.2274619233816,370.06063352396103,362.3902506426274,368.8063659667969,21730142,492.21267318377784,494.425855651597,486.32558772693704,491.65936279296875,12614237,489.23313776979256,490.00697100312703,485.675941100774,488.9559631347656,8568628,1564.7739430222166,1574.2902161187028,1531.3848199891313,1547.997314453125,2414376,558.9539344562528,561.8863455345247,540.8706002281077,550.726806640625,18130292
2019-01-10,367.5521224321201,368.70990115033806,362.8244303054715,366.1531066894531,14497154,490.33148136893067,491.7700707213868,488.2289549747655,490.2208251953125,8925160,489.00212693841985,490.5728583225664,483.37754047405303,487.0387268066406,7691540,1550.4994330683949,1562.804984124493,1535.8147887795512,1549.3099365234375,3053461,555.2067603044621,555.5326057665067,547.8349666082994,553.6591186523438,9572493
2019-01-11,367.2144003992878,367.793304440289,362.052552653808,365.2364807128906,12537973,490.2650868480433,493.0094485923321,481.8549812853927,486.03790283203125,14139060,488.262977676468,490.61904656486416,486.92323453801015,487.8240661621094,6408040,1534.0921176851725,1538.1939682672185,1505.379163610851,1511.572998046875,9209862,554.0664652358487,558.3836446676972,547.7943122378211,556.7545166015625,12281903
2019-01-14,365.3812078002834,365.3812078002834,359.5922266116501,360.2193603515625,14844029,484.6878346813324,487.1223294251018,480.88114438580243,485.4845886230469,8994060,487.3621045505913,487.3621045505913,484.7173002667825,485.4564514160156,4855160,1517.684734980353,1518.5051051073694,1484.8699298996967,1487.5361328125,3615370,575.8967491976039,578.5033639464326,566.8958269222942,571.7424926757812,19312937
2019-01-15,360.4123554104411,362.19729739700404,357.56612362391314,359.6405029296875,12960779,489.1142147216286,501.0654355760193,489.1142147216286,500.0252380371094,22011407,486.2417932263523,491.19647956658275,485.5372678339793,490.1339111328125,5087556,1484.869802126891,1533.5587449470718,1483.2290620140438,1532.2872314453125,7711653,576.0596708446352,594.6317201044906,576.0596708446352,591.8621826171875,19671304
2019-01-16,358.96507083442305,366.394275290844,358.96507083442305,362.10076904296875,15106484,502.3933572218789,506.8197816987164,500.3351227305531,502.7917785644531,13961606,489.7066157774931,490.8499962547524,486.9809433430973,489.7412414550781,5252452,1534.0922564740868,1538.194107427226,1515.223742089646,1534.21533203125,2359280,594.5503747696445,600.9854015274058,593.409965107738,600.1708374023438,9658944
2019-01-17,362.7762021224951,364.65763303355703,359.6887333054408,361.4254455566406,13171721,506.5762057920811,508.10329031075617,500.18007306524106,502.14984130859375,16379077,490.9077460310977,493.3677481743851,488.15900859429706,492.5362243652344,8240228,1543.957418772626,1560.3999897925687,1538.4491976239408,1557.358154296875,2625816,599.3562878012979,601.9629030080716,593.89869808772,597.360595703125,6903771
